,hs,申請系所,FCU,FCU_AM,total_uni,uni_0,uni_1,uni_2,uni_3,uni_4,uni_5,uni_6,uni_7,uni_8,uni_9,uni_10,hs_state,no_public,ratio_public,no_fcu,ratio_fcu,no_math,ratio_math,taichung,hs_from_taichung
15,屏東女中,"逢甲大學應用數學系
淡江大學統計學系
逢甲大學通訊工程學系
靜宜大學資訊工程學系
義守大學資訊工程學系
朝陽科技大學保險金融管理系",1,1,6,逢甲大學應用數學系,淡江大學統計學系,逢甲大學通訊工程學系,靜宜大學資訊工程學系,義守大學資訊工程學系,朝陽科技大學保險金融管理系,0,0,0,0,0,屏東縣,0,0.0,2,0.3333333333333333,1,0.16666666666666666,0,3
16,新莊高中,"中原大學應用數學系
中國文化大學應用數學系",1,1,2,中原大學應用數學系,中國文化大學應用數學系,0,0,0,0,0,0,0,0,0,新北市,0,0.0,1,0.5,2,1.0,0,3
18,臺中一中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學精密系統設計學士學位學程
弘光科技大學資訊管理系
中臺科技大學護理系
中臺科技大學視光系",1,0,6,逢甲大學應用數學系,逢甲大學纖維與複合材料學系,逢甲大學精密系統設計學士學位學程,弘光科技大學資訊管理系,中臺科技大學護理系,中臺科技大學視光系,0,0,0,0,0,臺中市,0,0.0,3,0.5,1,0.16666666666666666,1,0
19,嘉義女中,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
東海大學應用物理學系光電組
國立金門大學土木與工程管理學系
嘉南藥理大學保健營養系",0,0,5,逢甲大學應用數學系,東吳大學財務工程與精算數學系,東海大學應用物理學系光電組,國立金門大學土木與工程管理學系,嘉南藥理大學保健營養系,0,0,0,0,0,0,嘉義市,1,0.2,1,0.2,2,0.4,0,1
20,清水高中,"逢甲大學應用數學系
東海大學應用數學系
國立嘉義大學應用數學系",0,0,3,逢甲大學應用數學系,東海大學應用數學系,國立嘉義大學應用數學系,0,0,0,0,0,0,0,0,新北市,1,0.3333333333333333,1,0.3333333333333333,3,1.0,0,3
22,臺南一中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,臺南市,0,0.0,1,1.0,1,1.0,0,2
23,中山高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學資訊工程學系
義守大學資訊工程學系",1,0,4,逢甲大學應用數學系,中原大學應用數學系,逢甲大學資訊工程學系,義守大學資訊工程學系,0,0,0,0,0,0,0,高雄市,0,0.0,2,0.5,2,0.5,0,2
25,中山高中,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)
東海大學統計學系(大數據與決策管理組)
淡江大學數學學系資料科學與數理統計組
國立東華大學應用數學系統計科學組",0,0,5,逢甲大學應用數學系,東海大學統計學系(大數據與資料科學組),東海大學統計學系(大數據與決策管理組),淡江大學數學學系資料科學與數理統計組,國立東華大學應用數學系統計科學組,0,0,0,0,0,0,高雄市,1,0.2,1,0.2,3,0.6,0,2
27,文華高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學航太與系統工程學系
逢甲大學財務工程與精算學士學位學程
國立臺中教育大學數學教育學系",1,0,5,逢甲大學應用數學系,東海大學應用數學系,逢甲大學航太與系統工程學系,逢甲大學財務工程與精算學士學位學程,國立臺中教育大學數學教育學系,0,0,0,0,0,0,臺中市,1,0.2,3,0.6,3,0.6,1,0
28,虎尾高中,"逢甲大學應用數學系
東海大學統計學系(自然組)
東海大學統計學系(社會組)",0,0,3,逢甲大學應用數學系,東海大學統計學系(自然組),東海大學統計學系(社會組),0,0,0,0,0,0,0,0,雲林縣,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,1
29,私立新民高中,"逢甲大學應用數學系
逢甲大學通訊工程學系
逢甲大學財務金融學系",1,1,3,逢甲大學應用數學系,逢甲大學通訊工程學系,逢甲大學財務金融學系,0,0,0,0,0,0,0,0,臺中市,0,0.0,3,1.0,1,0.3333333333333333,1,0
30,私立明德高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學物理學系物理組
淡江大學物理學系應用物理組",1,1,4,逢甲大學應用數學系,中原大學應用數學系,中原大學物理學系物理組,淡江大學物理學系應用物理組,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.25,2,0.5,1,0
31,中山高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(大數據與資料科學組)
逢甲大學統計學系
國立屏東大學應用數學系",0,0,5,逢甲大學應用數學系,東海大學應用數學系,東海大學統計學系(大數據與資料科學組),逢甲大學統計學系,國立屏東大學應用數學系,0,0,0,0,0,0,高雄市,1,0.2,2,0.4,3,0.6,0,2
33,平鎮高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系數學組
銘傳大學資訊工程學系(桃園校區)",0,0,5,逢甲大學應用數學系,東吳大學數學系,中原大學應用數學系,淡江大學數學學系數學組,銘傳大學資訊工程學系(桃園校區),0,0,0,0,0,0,桃園市,0,0.0,1,0.2,5,1.0,0,2
34,新竹女中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學光電學系
逢甲大學通訊工程學系",1,1,4,逢甲大學應用數學系,東海大學應用數學系,逢甲大學光電學系,逢甲大學通訊工程學系,0,0,0,0,0,0,0,新竹市,0,0.0,3,0.75,2,0.5,0,1
35,國立中興大學,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學水利工程與資源保育學系",0,0,3,逢甲大學應用數學系,東海大學應用數學系,逢甲大學水利工程與資源保育學系,0,0,0,0,0,0,0,0,臺中市,0,0.0,2,0.6666666666666666,2,0.6666666666666666,1,0
36,建功高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學統計學系
靜宜大學統計資訊學系",1,1,4,逢甲大學應用數學系,中原大學應用數學系,逢甲大學統計學系,靜宜大學統計資訊學系,0,0,0,0,0,0,0,新竹市,0,0.0,2,0.5,2,0.5,0,1
37,國立中興大學,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
長庚科技大學護理系(林口校區)",1,1,3,逢甲大學應用數學系,淡江大學數學學系資料科學與數理統計組,長庚科技大學護理系(林口校區),0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.3333333333333333,2,0.6666666666666666,1,0
38,鳳新高中,"逢甲大學應用數學系
東吳大學數學系
東吳大學財務工程與精算數學系
淡江大學會計學系
逢甲大學財稅學系
銘傳大學會計學系稅務規劃組(臺北校區)",1,0,6,逢甲大學應用數學系,東吳大學數學系,東吳大學財務工程與精算數學系,淡江大學會計學系,逢甲大學財稅學系,銘傳大學會計學系稅務規劃組(臺北校區),0,0,0,0,0,高雄市,0,0.0,2,0.3333333333333333,3,0.5,0,2
39,私立長榮高中,"逢甲大學應用數學系
國立臺東大學應用數學系
義守大學財務與計算數學系",1,1,3,逢甲大學應用數學系,國立臺東大學應用數學系,義守大學財務與計算數學系,0,0,0,0,0,0,0,0,臺南市,1,0.3333333333333333,1,0.3333333333333333,3,1.0,0,2
40,竹北高中,"逢甲大學應用數學系
東海大學應用物理學系
中國文化大學光電物理學系
中國文化大學資訊工程學系
輔仁大學物理學系物理組",0,0,5,逢甲大學應用數學系,東海大學應用物理學系,中國文化大學光電物理學系,中國文化大學資訊工程學系,輔仁大學物理學系物理組,0,0,0,0,0,0,新竹縣,0,0.0,1,0.2,1,0.2,0,1
41,桃園市育達高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)
淡江大學數學學系資料科學與數理統計組
逢甲大學統計學系
輔仁大學數學系應用數學組
龍華科技大學國際企業系
明志科技大學環境與安全衛生工程系",0,0,8,逢甲大學應用數學系,中原大學應用數學系,東海大學統計學系(自然組),淡江大學數學學系資料科學與數理統計組,逢甲大學統計學系,輔仁大學數學系應用數學組,龍華科技大學國際企業系,明志科技大學環境與安全衛生工程系,0,0,0,桃園市,0,0.0,2,0.25,5,0.625,0,2
42,臺中二中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
開南大學應用日語學系
亞洲大學健康產業管理學系健康產業管理組
亞洲大學視光學系
中臺科技大學視光系
中臺科技大學醫療暨健康產業管理系
中臺科技大學醫學影像暨放射科學系",0,0,8,逢甲大學應用數學系,淡江大學數學學系資料科學與數理統計組,開南大學應用日語學系,亞洲大學健康產業管理學系健康產業管理組,亞洲大學視光學系,中臺科技大學視光系,中臺科技大學醫療暨健康產業管理系,中臺科技大學醫學影像暨放射科學系,0,0,0,臺中市,0,0.0,1,0.125,2,0.25,1,0
43,陽明高中,"逢甲大學應用數學系
中國文化大學應用數學系
銘傳大學會計學系(臺北校區)
實踐大學會計學系(臺北校區)",1,1,4,逢甲大學應用數學系,中國文化大學應用數學系,銘傳大學會計學系(臺北校區),實踐大學會計學系(臺北校區),0,0,0,0,0,0,0,臺北市,0,0.0,1,0.25,2,0.5,0,3
45,武陵高中,"逢甲大學應用數學系
逢甲大學環境工程與科學學系
逢甲大學水利工程與資源保育學系
中國文化大學光電物理學系
中國文化大學機械工程學系",1,1,5,逢甲大學應用數學系,逢甲大學環境工程與科學學系,逢甲大學水利工程與資源保育學系,中國文化大學光電物理學系,中國文化大學機械工程學系,0,0,0,0,0,0,桃園市,0,0.0,3,0.6,1,0.2,0,2
46,斗六高中,"逢甲大學應用數學系
靜宜大學財務金融學系
台南應用科技大學旅館管理系",0,0,3,逢甲大學應用數學系,靜宜大學財務金融學系,台南應用科技大學旅館管理系,0,0,0,0,0,0,0,0,雲林縣,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,1
47,私立弘文高中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系",1,1,2,逢甲大學應用數學系,逢甲大學工業工程與系統管理學系,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,2,1.0,1,0.5,1,0
48,臺南一中,"逢甲大學應用數學系
東海大學化學工程與材料工程學系
靜宜大學統計資訊學系(工業工程統計組)
正修科技大學企業管理系經營管理組
樹德科技大學電腦與通訊系
南臺科技大學化學工程與材料工程系
朝陽科技大學資訊與通訊系",1,1,7,逢甲大學應用數學系,東海大學化學工程與材料工程學系,靜宜大學統計資訊學系(工業工程統計組),正修科技大學企業管理系經營管理組,樹德科技大學電腦與通訊系,南臺科技大學化學工程與材料工程系,朝陽科技大學資訊與通訊系,0,0,0,0,臺南市,0,0.0,1,0.14285714285714285,1,0.14285714285714285,0,2
49,國立中興大學,"逢甲大學應用數學系
東海大學應用物理學系材料及奈米科技組
東海大學應用物理學系光電組
逢甲大學光電學系
逢甲大學自動控制工程學系
逢甲大學水利工程與資源保育學系",1,0,6,逢甲大學應用數學系,東海大學應用物理學系材料及奈米科技組,東海大學應用物理學系光電組,逢甲大學光電學系,逢甲大學自動控制工程學系,逢甲大學水利工程與資源保育學系,0,0,0,0,0,臺中市,0,0.0,4,0.6666666666666666,1,0.16666666666666666,1,0
50,臺中一中,"逢甲大學應用數學系
東海大學統計學系(自然組)
逢甲大學統計學系
靜宜大學財務與計算數學系計算數學組-類繁星",1,1,4,逢甲大學應用數學系,東海大學統計學系(自然組),逢甲大學統計學系,靜宜大學財務與計算數學系計算數學組-類繁星,0,0,0,0,0,0,0,臺中市,0,0.0,2,0.5,3,0.75,1,0
51,天主教道明中學,"逢甲大學應用數學系
銘傳大學商品設計學系(桃園校區)",1,1,2,逢甲大學應用數學系,銘傳大學商品設計學系(桃園校區),0,0,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.5,1,0.5,0,2
52,嘉義高中,"逢甲大學應用數學系
淡江大學統計學系
逢甲大學統計學系
亞洲大學會計與資訊學系管理應用組
朝陽科技大學資訊工程系
南臺科技大學生物科技系
明志科技大學工業工程與管理系",1,0,7,逢甲大學應用數學系,淡江大學統計學系,逢甲大學統計學系,亞洲大學會計與資訊學系管理應用組,朝陽科技大學資訊工程系,南臺科技大學生物科技系,明志科技大學工業工程與管理系,0,0,0,0,嘉義市,0,0.0,2,0.2857142857142857,1,0.14285714285714285,0,1
53,彰師附工,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
中國文化大學應用數學系
中國文化大學心理輔導學系",0,0,4,逢甲大學應用數學系,淡江大學數學學系資料科學與數理統計組,中國文化大學應用數學系,中國文化大學心理輔導學系,0,0,0,0,0,0,0,彰化縣,0,0.0,1,0.25,3,0.75,0,1
54,臺南二中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
靜宜大學資料科學暨大數據分析與應用學系-一般組
靜宜大學會計學系-一般組
朝陽科技大學財務金融系
嶺東科技大學國際企業系
嶺東科技大學財務金融系",1,1,7,逢甲大學應用數學系,東海大學統計學系(決策管理組),靜宜大學資料科學暨大數據分析與應用學系-一般組,靜宜大學會計學系-一般組,朝陽科技大學財務金融系,嶺東科技大學國際企業系,嶺東科技大學財務金融系,0,0,0,0,臺南市,0,0.0,1,0.14285714285714285,1,0.14285714285714285,0,2
55,嘉義女中,"逢甲大學應用數學系
東海大學應用數學系
國立虎尾科技大學材料科學與工程系",1,1,3,逢甲大學應用數學系,東海大學應用數學系,國立虎尾科技大學材料科學與工程系,0,0,0,0,0,0,0,0,嘉義市,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,0,1
56,逢甲大學,"逢甲大學應用數學系
國立屏東教育大學應用數學系
義守大學醫學影像暨放射科學系
國立澎湖科技大學食品科學系
嘉南藥理科技大學醫藥化學系
弘光科技大學護理系
明志科技大學材料工程系
中臺科技大學護理系",0,0,8,逢甲大學應用數學系,國立屏東教育大學應用數學系,義守大學醫學影像暨放射科學系,國立澎湖科技大學食品科學系,嘉南藥理科技大學醫藥化學系,弘光科技大學護理系,明志科技大學材料工程系,中臺科技大學護理系,0,0,0,臺中市,2,0.25,1,0.125,2,0.25,1,0
57,國立屏東大學,"逢甲大學應用數學系
國立屏東大學電腦與智慧型機器人學士學位學程
國立臺東大學資訊工程學系
亞洲大學資訊工程學系數位內容與遊戲設計組",0,0,4,逢甲大學應用數學系,國立屏東大學電腦與智慧型機器人學士學位學程,國立臺東大學資訊工程學系,亞洲大學資訊工程學系數位內容與遊戲設計組,0,0,0,0,0,0,0,屏東縣,2,0.5,1,0.25,1,0.25,0,3
58,高師大附中,"逢甲大學應用數學系
國立聯合大學化學工程學系
國立高雄科技大學輪機工程系(旗津校區)",1,1,3,逢甲大學應用數學系,國立聯合大學化學工程學系,國立高雄科技大學輪機工程系(旗津校區),0,0,0,0,0,0,0,0,高雄市,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,0,2
59,新北高中,"逢甲大學應用數學系
東海大學應用數學系
國立東華大學應用數學系數學科學組
國立屏東大學應用數學系",0,0,4,逢甲大學應用數學系,東海大學應用數學系,國立東華大學應用數學系數學科學組,國立屏東大學應用數學系,0,0,0,0,0,0,0,新北市,2,0.5,1,0.25,5,1.25,0,3
60,新竹高中,"逢甲大學應用數學系
東海大學統計學系(自然組)
國立嘉義大學體育與健康休閒學系",1,1,3,逢甲大學應用數學系,東海大學統計學系(自然組),國立嘉義大學體育與健康休閒學系,0,0,0,0,0,0,0,0,新竹市,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,1
61,文華高中,"逢甲大學應用數學系
逢甲大學電機工程學系
逢甲大學資訊電機學院不分系榮譽班
逢甲大學通訊工程學系
元智大學通訊工程學系",1,0,5,逢甲大學應用數學系,逢甲大學電機工程學系,逢甲大學資訊電機學院不分系榮譽班,逢甲大學通訊工程學系,元智大學通訊工程學系,0,0,0,0,0,0,臺中市,0,0.0,4,0.8,1,0.2,1,0
62,新北高中,"逢甲大學應用數學系
國立臺東大學應用數學系
銘傳大學風險管理與保險學系(台北校區)
銘傳大學經濟學系(桃園校區)",0,0,4,逢甲大學應用數學系,國立臺東大學應用數學系,銘傳大學風險管理與保險學系(台北校區),銘傳大學經濟學系(桃園校區),0,0,0,0,0,0,0,新北市,1,0.25,1,0.25,2,0.5,0,3
63,臺南女中,"逢甲大學應用數學系
中原大學應用數學系
國立臺東大學數學系",0,0,3,逢甲大學應用數學系,中原大學應用數學系,國立臺東大學數學系,0,0,0,0,0,0,0,0,臺南市,1,0.3333333333333333,1,0.3333333333333333,3,1.0,0,2
64,臺東高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學生態人文學系
逢甲大學水利工程與資源保育學系
靜宜大學資訊工程學系",1,0,5,逢甲大學應用數學系,中原大學應用數學系,靜宜大學生態人文學系,逢甲大學水利工程與資源保育學系,靜宜大學資訊工程學系,0,0,0,0,0,0,臺東縣,0,0.0,2,0.4,2,0.4,0,3
65,嘉義女中,"逢甲大學應用數學系
東海大學應用數學系
靜宜大學會計學系
靜宜大學財務金融學系
銘傳大學會計學系(台北校區)",1,1,5,逢甲大學應用數學系,東海大學應用數學系,靜宜大學會計學系,靜宜大學財務金融學系,銘傳大學會計學系(台北校區),0,0,0,0,0,0,嘉義市,0,0.0,1,0.2,2,0.4,0,1
66,左營高中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,高雄市,0,0.0,1,1.0,1,1.0,0,2
67,中壢高商,"逢甲大學應用數學系
輔仁大學物理學系物理組",0,0,2,逢甲大學應用數學系,輔仁大學物理學系物理組,0,0,0,0,0,0,0,0,0,桃園市,0,0.0,1,0.5,1,0.5,0,2
68,國立中興大學,"逢甲大學應用數學系
東海大學應用數學系",1,1,2,逢甲大學應用數學系,東海大學應用數學系,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,2,1.0,1,0
69,文華高中,"逢甲大學應用數學系
逢甲大學資訊工程學系",1,0,2,逢甲大學應用數學系,逢甲大學資訊工程學系,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,2,1.0,1,0.5,1,0
70,私立長榮高中,"逢甲大學應用數學系
東海大學應用數學系
南臺科技大學電機工程系控制與晶片組",1,1,3,逢甲大學應用數學系,東海大學應用數學系,南臺科技大學電機工程系控制與晶片組,0,0,0,0,0,0,0,0,臺南市,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,2
71,中興高中,"逢甲大學應用數學系
中國文化大學機械工程學系
中華大學土木工程學系
義守大學電子工程學系",1,1,4,逢甲大學應用數學系,中國文化大學機械工程學系,中華大學土木工程學系,義守大學電子工程學系,0,0,0,0,0,0,0,南投縣,0,0.0,1,0.25,1,0.25,0,1
72,逢甲大學,"逢甲大學應用數學系
中國文化大學應用數學系
靜宜大學財務與計算數學系財務工程組
朝陽科技大學保險金融管理系
德明財經科技大學財務金融系
僑光科技大學行銷與流通管理系",1,1,6,逢甲大學應用數學系,中國文化大學應用數學系,靜宜大學財務與計算數學系財務工程組,朝陽科技大學保險金融管理系,德明財經科技大學財務金融系,僑光科技大學行銷與流通管理系,0,0,0,0,0,臺中市,0,0.0,1,0.16666666666666666,3,0.5,1,0
73,私立光隆家商,"逢甲大學應用數學系
實踐大學風險管理與保險學系(臺北校區)",1,1,2,逢甲大學應用數學系,實踐大學風險管理與保險學系(臺北校區),0,0,0,0,0,0,0,0,0,基隆市,0,0.0,1,0.5,1,0.5,0,3
74,靜宜大學,"逢甲大學應用數學系
靜宜大學財務金融學系-一般組
國立屏東大學商業自動化與管理學系",1,1,3,逢甲大學應用數學系,靜宜大學財務金融學系-一般組,國立屏東大學商業自動化與管理學系,0,0,0,0,0,0,0,0,臺中市,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0
75,惠文高中,"逢甲大學應用數學系
淡江大學統計學系
逢甲大學工業工程與系統管理學系
中國文化大學應用數學系
靜宜大學資訊傳播工程學系-類繁星",1,0,5,逢甲大學應用數學系,淡江大學統計學系,逢甲大學工業工程與系統管理學系,中國文化大學應用數學系,靜宜大學資訊傳播工程學系-類繁星,0,0,0,0,0,0,臺中市,0,0.0,2,0.4,2,0.4,1,0
76,左營高中,"逢甲大學應用數學系
逢甲大學化學工程學系
逢甲大學經濟學系
國立屏東教育大學應用化學系
國立屏東教育大學應用數學系",0,0,5,逢甲大學應用數學系,逢甲大學化學工程學系,逢甲大學經濟學系,國立屏東教育大學應用化學系,國立屏東教育大學應用數學系,0,0,0,0,0,0,高雄市,2,0.4,3,0.6,2,0.4,0,2
77,天主教道明中學,"逢甲大學應用數學系
國立勤益科技大學冷凍空調與能源系
美和科技大學護理系",1,1,3,逢甲大學應用數學系,國立勤益科技大學冷凍空調與能源系,美和科技大學護理系,0,0,0,0,0,0,0,0,高雄市,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,2
78,虎尾高中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,雲林縣,0,0.0,1,1.0,1,1.0,0,1
79,新竹女中,"逢甲大學應用數學系
逢甲大學統計學系
靜宜大學統計資訊學系-類繁星
銘傳大學應用統計資訊學系(桃園校區)",1,0,4,逢甲大學應用數學系,逢甲大學統計學系,靜宜大學統計資訊學系-類繁星,銘傳大學應用統計資訊學系(桃園校區),0,0,0,0,0,0,0,新竹市,0,0.0,2,0.5,1,0.25,0,1
80,文華高中,"逢甲大學應用數學系
中原大學企業管理學系
逢甲大學企業管理學系
靜宜大學企業管理學系",1,0,4,逢甲大學應用數學系,中原大學企業管理學系,逢甲大學企業管理學系,靜宜大學企業管理學系,0,0,0,0,0,0,0,臺中市,0,0.0,2,0.5,1,0.25,1,0
81,屏東女中,"逢甲大學應用數學系
中國文化大學大氣科學系
中國文化大學地質學系",1,1,3,逢甲大學應用數學系,中國文化大學大氣科學系,中國文化大學地質學系,0,0,0,0,0,0,0,0,屏東縣,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,3
82,靜宜大學,"逢甲大學應用數學系
東海大學應用物理學系光電組
逢甲大學光電學系
逢甲大學通訊工程學系
逢甲大學水利工程與資源保育學系
亞洲大學光電與通訊學系通訊網路組",1,0,6,逢甲大學應用數學系,東海大學應用物理學系光電組,逢甲大學光電學系,逢甲大學通訊工程學系,逢甲大學水利工程與資源保育學系,亞洲大學光電與通訊學系通訊網路組,0,0,0,0,0,臺中市,0,0.0,4,0.6666666666666666,1,0.16666666666666666,1,0
83,建功高中,"逢甲大學應用數學系
淡江大學數學學系數學組
中華大學資訊工程學系資訊工程組",1,1,3,逢甲大學應用數學系,淡江大學數學學系數學組,中華大學資訊工程學系資訊工程組,0,0,0,0,0,0,0,0,新竹市,0,0.0,1,0.3333333333333333,3,1.0,0,1
84,文華高中,"逢甲大學應用數學系
中原大學應用數學系",0,0,2,逢甲大學應用數學系,中原大學應用數學系,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,2,1.0,1,0
